"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 18:39:44 IST 2020","Thu Jun 04 18:40:05 IST 2020","20949","","my main1 suite ","","my main1 suite ","my main1 spec","my main1 spec",""
"passed","Fri Jun 05 07:49:48 IST 2020","Fri Jun 05 07:50:13 IST 2020","24954","","my test suite ","","my test suite ","my test spec","my test spec",""
